elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
109.6	76847214592	44296957952	4722688	0	3313664	49345130496	51805405184	88046829568	83751862272	34406731776	6724173824	42318467072	38091587584	446464	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	34	0
110.7	76057391104	46272286720	1678258176	0	3313664	51667128320	51805405184	88046829568	83751862272	32084733952	7024644096	44292194304	38391742464	1673973760	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	34	0
111.7	78892961792	42253729792	4796416	0	3313664	45243863040	51805405184	88046829568	83751862272	38507999232	4681064448	40273940480	36027088896	499712	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	35	0
112.7	76028354560	44599222272	4796416	0	3313664	50455834624	51805405184	88046829568	83751862272	33296027648	7534137344	42617081856	38370615296	499712	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	35	0
113.7	79675002880	43478802432	4874240	0	3313664	45385752576	51806076928	88046829568	83751862272	38366109696	3602182144	41493987328	38400761856	557056	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	36	0
114.7	76963524608	44010926080	4878336	0	3313664	48775122944	51806076928	88046829568	83751862272	34976739328	6441299968	42034176000	37808300032	557056	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	36	0
115.7	75642351616	45559517184	963280896	0	3313664	50934185984	51806076928	88046829568	83751862272	32817676288	7024857088	43577430016	38391742464	958955520	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	36	0
116.8	78445658112	41953599488	4952064	0	3313664	44645531648	51806687232	88046829568	83751862272	39106330624	4382478336	39975649280	35728252928	610304	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	37	0
117.8	76353425408	44599709696	5017600	0	3313664	49970974720	51806687232	88046829568	83751862272	33780887552	7049723904	42617434112	38370615296	610304	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	37	0
118.8	78503342080	44628410368	5079040	0	3313664	46546071552	51807232000	88046829568	83751862272	37205790720	3602391040	42646495232	38400761856	667648	0	0	4294967296	0	0	0	0	0	0.0	41	0	0	2	38	0
